
2025/02/11 (15:25:42) | ===> btop++ v.1.3.0
2025/02/11 (15:25:42) | ERROR: Stall in Runner thread, restarting!
2025/02/17 (12:00:39) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (17:02:57) | ===> btop++ v.1.3.0
2025/02/21 (17:02:57) | ERROR: Stall in Runner thread, restarting!

2025/07/20 (20:37:55) | ===> btop++ v.1.3.0
2025/07/20 (20:37:55) | ERROR: Stall in Runner thread, restarting!

2025/10/06 (22:30:19) | ===> btop++ v.1.3.0
2025/10/06 (22:30:19) | ERROR: Stall in Runner thread, restarting!
2025/10/06 (22:30:25) | ERROR: Stall in Runner thread, restarting!
2025/10/06 (22:30:31) | ERROR: Stall in Runner thread, restarting!
2025/10/06 (22:30:37) | ERROR: Stall in Runner thread, restarting!

2025/11/30 (00:59:53) | ===> btop++ v.1.3.0
2025/11/30 (00:59:53) | ERROR: Stall in Runner thread, restarting!

2025/12/24 (11:26:20) | ===> btop++ v.1.3.0
2025/12/24 (11:26:20) | ERROR: Stall in Runner thread, restarting!

2026/01/01 (15:39:52) | ===> btop++ v.1.3.0
2026/01/01 (15:39:52) | ERROR: Stall in Runner thread, restarting!
2026/01/01 (15:39:58) | ERROR: Stall in Runner thread, restarting!
2026/01/01 (15:40:04) | ERROR: Stall in Runner thread, restarting!
2026/01/01 (15:40:10) | ERROR: Stall in Runner thread, restarting!
2026/01/01 (15:40:16) | ERROR: Stall in Runner thread, restarting!
2026/01/01 (15:40:22) | ERROR: Stall in Runner thread, restarting!

2026/01/04 (12:16:02) | ===> btop++ v.1.3.0
2026/01/04 (12:16:02) | ERROR: Stall in Runner thread, restarting!

2026/01/04 (12:16:02) | ===> btop++ v.1.3.0
2026/01/04 (12:16:02) | ERROR: Stall in Runner thread, restarting!

2026/01/26 (17:38:20) | ===> btop++ v.1.3.0
2026/01/26 (17:38:20) | ERROR: Stall in Runner thread, restarting!

2026/02/07 (02:51:03) | ===> btop++ v.1.3.0
2026/02/07 (02:51:03) | ERROR: Stall in Runner thread, restarting!
2026/02/07 (02:52:13) | ERROR: Stall in Runner thread, restarting!
2026/02/07 (02:52:19) | ERROR: Stall in Runner thread, restarting!

2026/02/08 (11:43:50) | ===> btop++ v.1.3.0
2026/02/08 (11:43:50) | ERROR: Stall in Runner thread, restarting!

2026/02/25 (18:15:04) | ===> btop++ v.1.3.0
2026/02/25 (18:15:04) | ERROR: Stall in Runner thread, restarting!

2026/02/28 (11:54:18) | ===> btop++ v.1.3.0
2026/02/28 (11:54:18) | ERROR: Stall in Runner thread, restarting!

2026/03/19 (17:22:40) | ===> btop++ v.1.3.0
2026/03/19 (17:22:40) | ERROR: Stall in Runner thread, restarting!
